Unnamed: 0,LISTA DE PREÇOS - REF: 01/23,Unnamed: 1,Unnamed: 2
Linha:,GAXETA E RASPADOR
Código,Descrição UN,Preço Unitário R$% IPI,
18702625,GAXETA  2.5/8 X 3 X 3/16 ,"12,089 ",
18702625-375,GAXETA  2.5/8 X 3 X 3/8 ,"14,361 ",
18702750,GAXETA  2.3/4 X 3.1/8 X 3/16 ,"12,089 ",
18702750-375,GAXETA2.3/4 X 3.1/8 X 3/8 ,"15,121 ",
18702875,GAXETA  2.7/8 X 3.1/4 X 3/16 ,"12,609 ",
18702875-375,GAXETA  2.7/8 X 3.1/4 X 3/8 ,"15,678 ",
18703000,GAXETA  3 X 3.3/8 X 3/16 ,"13,109 ",
18703000-375,GAXETA  3 X 3.3/8 X 3/8 ,"16,387 ",
18703125,GAXETA  3.1/8 X 3.1/2 X 3/16 ,"13,591 ",
18703125-375,GAXETA3.1/8 X 3.1/2 X 3/8 ,"17,140 ",
18703125-500,GAXETA3.1/8 X 3.1/2 X 1/2 ,"23,692 ",
18703250-375,GAXETA3.1/4 X 3.5/8 X 3/8 ,"17,642 ",
Linha:,GAXETA E RASPADOR
Código,Descrição UN,Preço Unitário R$% IPI,
18703375-375,GAXETA  3.3/8 X 3.3/4 X 3/8 ,"18,250 ",
18703375-500,GAXETA 3 3/8 X 3 3/4 X 1/2 ,"29,698 ",
18703500-375,GAXETA3.1/2 X 3.7/8 X 3/8 ,"18,854 ",
18703625-375,GAXETA  3.5/8 X 4 X 3/8 ,"19,457 ",
18703750,GAXETA  3.3/4 X 4.1/8 X 3/16 ,"18,636 ",
18703750-375,GAXETA3.3/4 X 4.1/8 X 3/8 ,"19,911 ",
18703875-375,GAXETA  3.7/8 X 4.1/4 X 3/8 ,"20,669 ",
18704000,GAXETA  4 X 4.3/8 X 3/16 ,"19,551 ",
18704000-375,GAXETA  4 X 4.3/8 X 3/8 ,"21,677 ",
18704000-500,GAXETA  4 X 4.3/8 X 1/2 ,"30,248 ",
18704125,GAXETA  4.1/8 X 4.1/2 X 3/16 ,"20,170 ",
18704125-375,GAXETA4.1/8 X 4.1/2 X 3/8 ,"22,177 ",
18704250-375,GAXETA4.1/4 X 4.5/8 X 3/8 ,"24,201 ",
18704375-375,GAXETA  4.3/8 X 4.3/4 X 3/8 ,"25,206 ",
18704375-500,GAXETA4.3/8 X 4.3/4 X 1/2 ,"32,771 ",
18704500-375,GAXETA  4.1/2 X 4.7/8 X 3/8 ,"20,571 ",
18704875-500,GAXETA4.7/8 X 5.1/4 X 1/2 ,"37,808 ",
18705500-500,GAXETA  5.1/2 X 5.7/8 X 1/2 ,"41,928 ",
18705625-500,GAXETA  5.5/8 X 6 X 1/2 ,"42,856 ",
18706500-500,GAXETA6.1/2 X 6.7/8 X 1/2 ,"47,890 ",
18707375-500,GAXETA7.3/8 X 7.3/4 X 1/2 ,"59,481 ",
1908,"RASPADOR TIPO K  85,73 X 98,43 X 8,50 ","14,114 ",
1909,"RASPADOR TIPO K  101,60 X 114,30 X 8,50 ","17,140 ",
1939,"GAXETA  AG 9  133,35 X 139,70 X 5,00 ","14,114 ",
1942,"GAXETA  AG 4  60,00 X 75,00 X 10,00 ","26,212 ",
1948,"CJTO. GAX. AG19  80 X 100 X 14,00 C/ARR.DE NYLON ","60,103 ",
1967,"GAXETA  AG 4  56,00 X 71,00 X 10,00 ","22,688 ",
1976,"RASPADOR TIPO RP-25  50,00 X 60,00 X 5,50 ","8,568 ",
1977,"RASPADOR TIPO RP-25  69,90 X 82,60 X 7,00 ","21,677 ",
1979,"GAXETA  AG 6  60,00 X 76,00 X 13,00 ","28,234 ",
1981,"GAXETA  AG 4  63,00 X 79,00 X 10,00 ","27,224 ",
25000250,GAXETA1/4 X 3/4 X 1/4 ,"3,526 ",
25000312,GAXETA  5/16 X 13/16 X 1/4 ,"3,526 ",
25000375,GAXETA  3/8 X 7/8 X 1/4 ,"3,526 ",
25000437,GAXETA  7/16 X 15/16 X 1/4 ,"3,526 ",
25000500,GAXETA1/2 X 1 X 1/4 ,"3,526 ",
25000500-375,GAXETA  1/2 X 1 X 3/8 ,"4,989 ",
25000562-375,GAXETA  9/16 X 1.1/16 X 3/8 ,"5,191 ",
25000625,GAXETA5/8 X 1.1/8 X 1/4 ,"4,034 ",
25000750,GAXETA  3/4 X 1.1/4 X 1/4 ,"5,247 ",
25000750-375,GAXETA  3/4 X 1.1/4 X 3/8 ,"5,699 ",
25000812,GAXETA  13/16 X 1.5/16 X 1/4 ,"6,053 ",
25000875,GAXETA  7/8 X 1.3/8 X 1/4 ,"5,036 ",
25000875-375,GAXETA  7/8 X 1.3/8 X 3/8 ,"6,346 ",
25000937,GAXETA 15/16 X 1.7/16 X 1/4 ,"6,973 ",
25001000,GAXETA  1 X 1.1/2 X 1/4 ,"5,292 ",
25001000-375,GAXETA  1 X 1.1/2 X 3/8 ,"7,059 ",
25001062,GAXETA  1.1/16 X 1.9/16 X 1/4 ,"5,547 ",
25001125,GAXETA  1.1/8 X 1.5/8 X 1/4 ,"5,800 ",
25001125-375,GAXETA  1.1/8 X 1.5/8 X 3/8 ,"7,663 ",
25001187,GAXETA 1.3/16 X 1.11/16 X 1/4 ,"6,053 ",
25001187-312,GAXETA 1.3/16 X 1.11/16 X 5/16 ,"6,801 ",
25001187-375,GAXETA 1.3/16 X 1.11/16 X 3/8 ,"8,064 ",
25001250,GAXETA  1.1/4 X 1.3/4 X 1/4 ,"6,556 ",
25001250-312,GAXETA  1.1/4 X 1.3/4 X 5/16 ,"9,795 ",
25001250-375,GAXETA  1.1/4 X 1.3/4 X 3/8 ,"9,980 ",
25001312-375,GAXETA  1.5/16 X 1.13/16 X 3/8 ,"8,064 ",
Linha:,GAXETA E RASPADOR
Código,Descrição UN,Preço Unitário R$% IPI,
25001375,GAXETA  1.3/8 X 1.7/8 X 1/4 ,"6,801 ",
25001375-375,GAXETA  1.3/8 X 1.7/8 X 3/8 ,"8,322 ",
25001500,GAXETA  1.1/2 X 2 X 1/4 ,"7,362 ",
25001500-312,GAXETA  1.1/2 X 2 X 5/16 ,"9,732 ",
25001500-375,GAXETA  1.1/2 X 2 X 3/8 ,"9,122 ",
25001500-375BS,GAXETA  AG 4  1.1/2 X 2 X 3/8 ,"13,816 ",
25001625,GAXETA  1.5/8 X 2.1/8 X 1/4 ,"8,064 ",
25001625-375,GAXETA  1.5/8 X 2.1/8 X 3/8 ,"9,732 ",
25001750,GAXETA  1.3/4 X 2.1/4 X 1/4 ,"8,368 ",
25001750-250,GAXETA  1.3/4 X 2.1/4 X 1/4 ,"8,977 ",
25001750-375,GAXETA  1.3/4 X 2.1/4 X 3/8 ,"10,332 ",
25001750-375BS,GAXETA  AG 4  1.3/4 X 2.1/4 X 3/8 ,"14,771 ",
25001875,GAXETA  1.7/8 X 2.3/8 X 1/4 ,"8,873 ",
25001875-375,GAXETA  1.7/8 X 2.3/8 X 3/8 ,"10,947 ",
25002000,GAXETA  2 X 2.1/2 X 1/4 ,"9,377 ",
25002000-312BS,GAXETA  AG 4  2 X 2.1/2 X 5/16 ,"15,121 ",
25002000-375,GAXETA2 X 2.1/2 X  3/8 ,"11,597 ",
25002000-375BS,GAXETA  AG 4  2 X 2.1/2 X 3/8 ,"17,844 ",
25002125,GAXETA  2.1/8 X 2.5/8 X 1/4 ,"10,087 ",
25002125-312BS,GAXETA  AG 4  2.1/8 X 2.5/8 X 5/16 ,"15,728 ",
25002125-375,GAXETA  2.1/8 X 2.5/8 X 3/8 ,"12,347 ",
25002250,GAXETA  2.1/4 X 2.3/4 X 1/4 ,"10,585 ",
25002250-250,GAXETA2.1/4 X 2.3/4 X 1/4 ,"11,095 ",
25002250-375,GAXETA2.1/4 X 2.3/4 X 3/8 ,"13,109 ",
25002250-375BS,GAXETA  AG 4  2.1/4 X 2.3/4 X 3/8 ,"17,642 ",
25002375,GAXETA  2.3/8 X  2.7/8 X 1/4 ,"11,095 ",
25002375-250,GAXETA2.3/8 X 2.7/8 X 1/4 ,"12,008 ",
25002375-375,GAXETA2.3/8 X 2.7/8 X 3/8 ,"14,771 ",
25002500,GAXETA  2.1/2 X 3 X 1/4 ,"11,597 ",
25002500-312BS,GAXETA  AG 4  2.1/2 X 3 X 5/16 ,"19,157 ",
25002500-375,GAXETA  2.1/2 X 3 X 3/8 ,"15,431 ",
25002500-375BS,GAXETA  AG 4  2.1/2 X 3 X 3/8 ,"21,581 ",
25002562-375,GAXETA2.9/16 X 3.1/16 X 3/8 ,"15,878 ",
25002625,GAXETA  2.5/8 X 3.1/8 X 1/4 ,"12,194 ",
25002625-375,GAXETA2.5/8 X 3.1/8 X 3/8 ,"16,337 ",
25002750,GAXETA  2.3/4 X 3.1/4 X 1/4 ,"12,710 ",
