Cod,Ref,Ø INT,ØEXT. ,H,Grupo Tipo ,Marca,NCM,cest,tributação,unidade,Preco,Alfanumérico
1410,625601968354,50,63,9,5,APC,39269090,2083800,1,PC,"13,11",1410
4291,629501968393,50,65,10,5,APC,39269090,2083800,1,PC,"16,95",4291
6225,629501968433,50,65,11,5,APC,39269090,2083800,1,PC,"18,65",6225
1856,639401968551,50,70,14,5,APC,39269090,2083800,1,PC,"33,27",1856
AG7942,639401968625,50,70,"15,87",5,APC,39269090,2083800,1,PC,"33,88",AG7942
6598,618702000266,"50,8","60,2","6,75",5,APC,39269090,2083800,1,PC,"11,10",6598
5823,618702125275,"53,98","63,5",7,5,APC,39269090,2083800,1,PC,"9,58",5823
5697,626902125375,"53,98","67,63","9,5",5,APC,39269090,2083800,1,PC,"16,13",5697
1876,618702125266,54,"63,5","6,8",5,APC,39269090,2083800,1,PC,"10,09",1876
5818,639402159413,"54,83","74,83","10,5",5,APC,39269090,2083800,1,PC,"25,21",5818
AG8375,619702165314,55,65,8,5,APC,39269090,2083800,1,PC,"13,84",AG8375
1610,619702165374,55,65,"9,5",5,APC,39269090,2083800,1,PC,"12,91",1610
5956,619702165390,55,65,10,5,APC,39269090,2083800,1,PC,"14,96",5956
6853,619702165500,55,65,"12,7",5,APC,39269090,2083800,1,PC,"15,24",6853
6876,629502165275,55,70,7,5,APC,39269090,2083800,1,PC,"21,06",6876
3752,629502165500,55,70,"12,7",5,APC,39269090,2083800,1,PC,"23,19",3752
5825,639402165500,55,75,"12,7",5,APC,39269090,2083800,1,PC,"33,27",5825
3182,629502185374,"55,5","70,5","9,5",5,APC,39269090,2083800,1,PC,"17,14",3182
3111,619702204275,56,66,7,5,APC,39269090,2083800,1,PC,"9,08",3111
AG7056,629502206390,56,71,"9,9",5,APC,39269090,2083800,1,PC,"18,42",AG7056
6512,631502204472,56,72,12,5,APC,39269090,2083800,1,PC,"24,20",6512
1563,625602244354,57,70,9,5,APC,39269090,2083800,1,PC,"15,63",1563
1855,641332322472,59,80,12,5,APC,39269090,2083800,1,PC,"33,27",1855
AG8349,619702362236,60,70,6,5,APC,39269090,2083800,1,PC,"14,33",AG8349
4414,619702362276,60,70,7,5,APC,39269090,2083800,1,PC,"13,65",4414
1560,619702362354,60,70,9,5,APC,39269090,2083800,1,PC,"14,11",1560
AG7028,619702362413,60,70,"10,5",5,APC,39269090,2083800,1,PC,"17,54",AG7028
6624,619702362472,60,70,12,5,APC,39269090,2083800,1,PC,"18,18",6624
6360,623602362374,60,72,"9,5",5,APC,39269090,2083800,1,PC,"14,62",6360
5853,629502362450,60,75,"11,5",5,APC,39269090,2083800,1,PC,"24,20",5853
6559,629502362472,60,75,12,5,APC,39269090,2083800,1,PC,"25,21",6559
3303,639402362394,60,80,10,5,APC,39269090,2083800,1,PC,"27,72",3303
1611,639402362470,60,80,"11,95",5,APC,39269090,2083800,1,PC,"32,77",1611
4069,639402362625,60,80,"15,8",5,APC,39269090,2083800,1,PC,"43,85",4069
AG8441,612902368220,"60,15","66,7","5,6",5,APC,39269090,2083800,1,PC,"13,99",AG8441
6955,630502402472,61,"76,5",12,5,APC,39269090,2083800,1,PC,"25,71",6955
3056,615702440472,62,70,12,5,APC,39269090,2083800,1,PC,"26,21",3056
6956,639402480625,63,83,"15,88",5,APC,39269090,2083800,1,PC,"30,25",6956
