Código;Descrição;Preço
25000500; GAXETA 1/2 X 1 X 1/4;3,868
25000500-375; GAXETA 1/2 X 1 X 3/8;5,474
25000562-375; GAXETA 9/16 X 1.1/16 X 3/8;5,695
25000625; GAXETA 5/8 X 1.1/8 X 1/4;4,426
25000750; GAXETA 3/4 X 1.1/4 X 1/4;5,757
25000750-375; GAXETA 3/4 X 1.1/4 X 3/8;6,252
25000812; GAXETA 13/16 X 1.5/16 X 1/4;6,641
25000875; GAXETA 7/8 X 1.3/8 X 1/4;5,525
25000875-375; GAXETA 7/8 X 1.3/8 X 3/8;6,962
25000937; GAXETA 15/16 X 1.7/16 X 1/4;7,650
25001000; GAXETA 1 X 1.1/2 X 1/4;5,806
25001000-375; GAXETA 1 X 1.1/2 X 3/8;7,744
25001062; GAXETA 1.1/16 X 1.9/16 X 1/4;6,085
25001125; GAXETA 1.1/8 X 1.5/8 X 1/4;6,363
25001125-375; GAXETA 1.1/8 X 1.5/8 X 3/8;8,407
25001187; GAXETA 1.3/16 X 1.11/16 X 1/4;6,641
25001187-312; GAXETA 1.3/16 X 1.11/16 X 5/16;7,461
25001187-375; GAXETA 1.3/16 X 1.11/16 X 3/8;8,847
25001250; GAXETA 1.1/4 X 1.3/4 X 1/4;7,192
25001250-312; GAXETA 1.1/4 X 1.3/4 X 5/16;10,746
25001250-375; GAXETA 1.1/4 X 1.3/4 X 3/8;10,949
25001312-375; GAXETA 1.5/16 X 1.13/16 X 3/8;8,847
25001375; GAXETA 1.3/8 X 1.7/8 X 1/4;7,461
25001375-375; GAXETA 1.3/8 X 1.7/8 X 3/8;9,130
25001500; GAXETA 1.1/2 X 2 X 1/4;8,077
25001500-312; GAXETA 1.1/2 X 2 X 5/16;10,677
25001500-375; GAXETA 1.1/2 X 2 X 3/8;10,007
25001500-375BS; GAXETA AG 4 1.1/2 X 2 X 3/8;15,158
25001625; GAXETA 1.5/8 X 2.1/8 X 1/4;8,847
25001625-375; GAXETA 1.5/8 X 2.1/8 X 3/8;10,677
25001750; GAXETA 1.3/4 X 2.1/4 X 1/4;9,181
25001750-250; GAXETA 1.3/4 X 2.1/4 X 1/4;9,848
25001750-375; GAXETA 1.3/4 X 2.1/4 X 3/8;11,336
25001750-375BS; GAXETA AG 4 1.3/4 X 2.1/4 X 3/8;16,205
25001875; GAXETA 1.7/8 X 2.3/8 X 1/4;9,735
25001875-375; GAXETA 1.7/8 X 2.3/8 X 3/8;12,010
25002000; GAXETA 2 X 2.1/2 X 1/4;10,287
25002000-312BS; GAXETA AG 4 2 X 2.1/2 X 5/16;16,589
25002000-375; GAXETA 2 X 2.1/2 X 3/8;12,723
25002000-375BS; GAXETA AG 4 2 X 2.1/2 X 3/8;19,577
25002125; GAXETA 2.1/8 X 2.5/8 X 1/4;11,066
25002125-312BS; GAXETA AG 4 2.1/8 X 2.5/8 X 5/16;17,255
25002125-375; GAXETA 2.1/8 X 2.5/8 X 3/8;13,546
25002250; GAXETA 2.1/4 X 2.3/4 X 1/4;11,612
25002250-250; GAXETA 2.1/4 X 2.3/4 X 1/4;12,172
25002250-375; GAXETA 2.1/4 X 2.3/4 X 3/8;14,382
25002250-375BS; GAXETA AG 4 2.1/4 X 2.3/4 X 3/8;19,355
25002375; GAXETA 2.3/8 X 2.7/8 X 1/4;12,172
25002375-250; GAXETA 2.3/8 X 2.7/8 X 1/4;13,174
25002375-375; GAXETA 2.3/8 X 2.7/8 X 3/8;16,205
25002500; GAXETA 2.1/2 X 3 X 1/4;12,723
25002500-312BS; GAXETA AG 4 2.1/2 X 3 X 5/16;21,017
25002500-375; GAXETA 2.1/2 X 3 X 3/8;16,929
25002500-375BS; GAXETA AG 4 2.1/2 X 3 X 3/8;23,676
25002562-375; GAXETA 2.9/16 X 3.1/16 X 3/8;17,420
25002625; GAXETA 2.5/8 X 3.1/8 X 1/4;13,378
25002625-375; GAXETA 2.5/8 X 3.1/8 X 3/8;17,924
25002750; GAXETA 2.3/4 X 3.1/4 X 1/4;13,944
25002750-312BS; GAXETA AG 4 2.3/4 X 3.1/4 X 5/16;21,787
25002750-375; GAXETA 2.3/4 X 3.1/4 X 3/8;19,355
25002750-375BS; GAXETA AG 4 2.3/4 X 3.1/4 X 3/8;24,891
25002875; GAXETA 2.7/8 X 3.3/8 X 1/4;14,382
25002875-375; GAXETA 2.7/8 X 3.3/8 X 3/8;19,355
25002875-500; GAXETA 2.7/8 X 3.3/8 X1/2;26,482
25003000; GAXETA 3 X 3.1/2 X 1/4;15,048
25003000-375; GAXETA 3 X 3.1/2 X 3/8;19,909
25003000-375BS; GAXETA AG 4 3 X 3.1/2 X 3/8;28,429
25003125; GAXETA 3.1/8 X 3.5/8 X 1/4;15,821
25003125-375; GAXETA 3.1/8 X 3.5/8 X 3/8;20,794
25003125-500; GAXETA 3.1/8 X 3.5/8 X 1/2;26,043
25003250; GAXETA 3.1/4 X 3.3/4 X 1/4;16,589
25003250-375; GAXETA 3.1/4 X 3.3/4 X 3/8;21,574
25003250-500; GAXETA 3.1/4 X 3.3/4 X 1/2;26,551
25003250-562; GAXETA 3.1/4 X 3.3/4 X 9/16;31,499
25003375; GAXETA 3.3/8 X 3.7/8 X 1/4;17,471
25003375-375; GAXETA 3.3/8 X 3.7/8 X 3/8;22,129
25003500; GAXETA 3.1/2 X 4 X 1/4;19,355
25003500-375; GAXETA 3.1/2 X 4 X 3/8;23,008
25003625; GAXETA 3.5/8 X 4.1/8 X 1/4;19,909
25003625-375; GAXETA 3.5/8 X 4.1/8 X 3/8;23,782
25003625-500; GAXETA 3.5/8 X 4.1/8 X 1/2;31,530
25003625-562; GAXETA 3.5/8 X 4.1/8 X 9/16;34,112
25003625-590; GAXETA 3.5/8 X 4.1/8 X 19/32;43,187
25003750; GAXETA 3.3/4 X 4.1/4 X 1/4;20,465
25003750-375; GAXETA 3.3/4 X 4.1/4 X 3/8;24,891
25003750-500; GAXETA 3.3/4 X 4.1/4 X 1/2;33,185
25003750-562; GAXETA 3.3/4 X 4.1/4 X 9/16;38,719
25003875; GAXETA 3.7/8 X 4.3/8 X 1/4;20,770
25003875-375; GAXETA 3.7/8 X 4.3/8 X 3/8;26,551
25004000; GAXETA 4 X 4.1/2 X 1/4;21,574
25004000-375; GAXETA 4 X 4.1/2 X 3/8;27,653
25004000-562; GAXETA 4 X 4.1/2 X 9/16;41,479
25004125; GAXETA 4.1/8 X 4.5/8 X 1/4;22,129
25004125-562; GAXETA 4.1/8 X 4.5/8 X 9/16;38,719
25004250; GAXETA 4.1/4 X 4.3/4 X 1/4;23,232
25004250-375; GAXETA 4.1/4 X 4.3/4 X 3/8;29,312
25004250-562; GAXETA 4.1/4 X 4.3/4 X 9/16;44,242
25004375; GAXETA 4.3/8 X 4.7/8 X 1/4;23,782
25004375-562; GAXETA 4.3/8 X 4.7/8 X 9/16;45,358
25004500; GAXETA 4.1/2 X 5 X 1/4;24,330
25004500-375; GAXETA 4.1/2 X 5 X 3/8;30,415
25004500-562; GAXETA 4.1/2 X 5 X 9/16;47,017
25004625; GAXETA 4.5/8 X 5.1/8 X 1/4;24,891
25004625-562; GAXETA 4.5/8 X 5.1/8 X 9/16;47,562
25004750; GAXETA 4.3/4 X 5.1/4 X 1/4;30,142
25004750-562; GAXETA 4.3/4 X 5.1/4 X 9/16;49,779
25004875; GAXETA 4.7/8 X 5.3/8 X 1/4;31,899
25004875-375; GAXETA 4.7/8 X 5.3/8 X 3/8;33,185
25005000; GAXETA 5 X 5 1/2 X 1/4;32,071
25005000-375; GAXETA 5 X 5.1/2 X 3/8;35,953
25005000-562; GAXETA 5 X 5.1/2 X 9/16;52,540
25005125; GAXETA 5.1/8 X 5.5/8 X 1/4;33,185
25005125-562; GAXETA 5.1/8 X 5.5/8 X 9/16;53,651
25005250; GAXETA 5.1/4 X 5.3/4 X 1/4;33,185
25005250-562; GAXETA 5.1/4 X 5.3/4 X 9/16;54,754
25005375; GAXETA 5.3/8 X 5.7/8 X 1/4;33,846
25005500; GAXETA 5.1/2 X 6 X 1/4;32,102
25005500-562; GAXETA 5.1/2 X 6 X 9/16;56,578
25005625; GAXETA 5.5/8 X 6.1/8 X 1/4;35,371
25005750; GAXETA 5.3/4 X 6.1/4 X 1/4;36,194
25005750-562; GAXETA 5.3/4 X 6.1/4 X 9/16;60,838
25005875; GAXETA 5.7/8 X 6.3/8 X 1/4;43,187
25006000; GAXETA 6 X 6.1/2 X 1/4;55,410
25006000-562; GAXETA 6 X 6.1/2 X 9/16;63,603
25006250; GAXETA 6.1/4 X 6.3/4 X 1/4;69,253
25006250-562; GAXETA 6.1/4 X 6.3/4 X 9/16;64,159
25006500; GAXETA 6.1/2 X 7 X 1/4;46,457
25006500-562; GAXETA 6.1/2 X 7 X 9/16;66,375
25006750; GAXETA 6.3/4 X 7.1/4 X 1/4;49,779
25006750-562; GAXETA 6.3/4 X 7.1/4 X 9/16;68,579
25007250-562; GAXETA 7.1/4 X 7.3/4 X 9/16;73,551
25007500; GAXETA 7.1/2 X 8 X 1/4;71,617
25007500-562; GAXETA 7.1/2 X 8 X 9/16;75,766
25007750; GAXETA 7.3/4 X 8.1/4 X 1/4;71,272
25007750-562; GAXETA 7.3/4 X 8.1/4 X 9/16;80,207
